wavelength,r_A,r_B
400.0,0.28379892728,0.826223666386
410.0,0.270493330469,0.722872366335
420.0,0.269713751437,0.624748209679
430.0,0.281460190185,0.531851196417
440.0,0.305732646712,0.444181326551
450.0,0.342531121019,0.361738600079
460.0,0.391855613106,0.284523017002
470.0,0.450862032476,0.214235496446
480.0,0.493242542044,0.166609540324
490.0,0.512597938195,0.145472216669
500.0,0.508928220929,0.150823525481
510.0,0.482233390246,0.18266346676
520.0,0.432513446145,0.240992040507
530.0,0.359768388627,0.32580924672
540.0,0.280305573472,0.419419114606
550.0,0.227758921977,0.485323704402
560.0,0.203147643877,0.522417017931
570.0,0.206471739173,0.530699055195
580.0,0.237731207865,0.510169816193
590.0,0.296926049952,0.460829300926
600.0,0.38334780776,0.383471227036
610.0,0.473617378024,0.304288276738
620.0,0.556399437949,0.235979932319
630.0,0.631693987535,0.178546193778
640.0,0.699501026781,0.131987061116
650.0,0.759820555688,0.0963025343324
660.0,0.812652574256,0.0714926134275
670.0,0.853661629956,0.0565760149105
680.0,0.865024195726,0.0475185733202
690.0,0.844813403774,0.0438841626607
700.0,0.7930292541,0.045672782932
710.0,0.709671746706,0.052884434134
720.0,0.59474088159,0.0655191162669
730.0,0.448236658753,0.0835768293305
