wavelength,r_A,r_B
400.0,0.069124271403,0.36655059893
410.0,0.0542664097745,0.265252379931
420.0,0.0442860861863,0.180435187609
430.0,0.0391833006382,0.112099021965
440.0,0.0389580531304,0.0602438829986
450.0,0.0436103436628,0.0248697707094
460.0,0.0531401722354,0.00597668509765
470.0,0.0667762657799,0.00244928721952
480.0,0.0773843484141,0.00397069184499
490.0,0.0832290557342,0.00803138635051
500.0,0.0843103877403,0.0146313707361
510.0,0.0806283444323,0.0237706450017
520.0,0.0721829258103,0.0354492091474
530.0,0.0589741318741,0.0496670631732
540.0,0.0434058944897,0.0640604488576
550.0,0.03043632313,0.0737541148689
560.0,0.0202156635368,0.0786003263184
570.0,0.0127439157099,0.0785990832059
580.0,0.00802107964948,0.0737503855315
590.0,0.00604715535543,0.0640542332953
600.0,0.00715643923324,0.049656175612
610.0,0.0223807126638,0.0353593332723
620.0,0.0570687181347,0.0234924921138
630.0,0.111220455646,0.0140556521367
640.0,0.184835925198,0.00704881334097
650.0,0.27791512679,0.00247197572655
660.0,0.390458060423,0.000325139293462
670.0,0.515259647248,0.000179699961412
680.0,0.622699007556,0.000273618733595
690.0,0.709573884082,0.000416404907652
700.0,0.775884276825,0.000608058483584
710.0,0.821630185785,0.000848579461391
720.0,0.846811610964,0.00113796784107
730.0,0.851428552359,0.00147622362263
