wavelength,r_A,r_B
400.0,0.022052209001,0.600024181966
410.0,0.111306440091,0.599768989383
420.0,0.195801963523,0.584266949377
430.0,0.275538779298,0.553518061947
440.0,0.350516887415,0.507522327094
450.0,0.420736287875,0.446279744818
460.0,0.486196980677,0.369790315118
470.0,0.545227104001,0.281718947801
480.0,0.582361936018,0.215966058564
490.0,0.593839787632,0.180777694471
500.0,0.579660658843,0.176153855522
510.0,0.539824549652,0.202094541715
520.0,0.474331460059,0.258599753052
530.0,0.383181390063,0.345669489533
540.0,0.284708430802,0.442953694379
550.0,0.216726645248,0.508480375486
560.0,0.180381914098,0.540977654306
570.0,0.17567423735,0.540445530839
580.0,0.202603615006,0.506884005085
590.0,0.261170047065,0.440293077043
600.0,0.350571530907,0.341665261539
610.0,0.444341980061,0.243753547779
620.0,0.529649352603,0.162438172953
630.0,0.606493648533,0.0977191370626
640.0,0.67487486785,0.0495964401066
650.0,0.734793010556,0.0180700820853
660.0,0.786248076649,0.00314006299879
670.0,0.824249526609,0.00209165769659
680.0,0.828280697963,0.00376432944894
690.0,0.796123573147,0.0069515337445
700.0,0.72777815216,0.0116532705833
710.0,0.623244435003,0.0178695399653
720.0,0.482522421675,0.0256003418905
730.0,0.305612112177,0.0348456763589
