wavelength,r_A,r_B
400.0,0.00112397063393,0.416875504613
410.0,0.0298601357407,0.33061655399
420.0,0.0561918912052,0.255711755657
430.0,0.0801192370276,0.192161109614
440.0,0.101642173208,0.139964615861
450.0,0.120760699746,0.0991222743991
460.0,0.137474816641,0.0696340852274
470.0,0.151496785728,0.0511877599133
480.0,0.160165028965,0.0408946304539
490.0,0.162832135476,0.0380520478755
500.0,0.159498105262,0.0426600121782
510.0,0.150162938323,0.054718523362
520.0,0.134826634658,0.0742275814268
530.0,0.113489194269,0.101187186373
540.0,0.0898015283157,0.130083756997
550.0,0.0712936410718,0.149545532068
560.0,0.0581937144844,0.159227912761
570.0,0.0505017485536,0.159130899077
580.0,0.0482177432792,0.149254491015
590.0,0.0513416986615,0.129598688574
600.0,0.0601385496344,0.10045717782
610.0,0.0833511490222,0.0715215988442
620.0,0.12521845577,0.0474909286631
630.0,0.185740469878,0.0283651672764
640.0,0.264917191346,0.0141443146842
650.0,0.362748620174,0.00482837088626
660.0,0.479234756362,0.000417335882758
670.0,0.606842821005,5.46271209459e-05
680.0,0.714604723049,0.000218738550832
690.0,0.799172560757,0.000528966815661
700.0,0.86054633413,0.000985311915432
710.0,0.898726043167,0.00158777385015
720.0,0.913711687869,0.0023363526198
730.0,0.905503268236,0.0032310482244
