wavelength,r_A,r_B
400.0,0.530821717196,0.00108775576887
410.0,0.396013395076,0.172327919621
420.0,0.30189692559,0.299656843857
430.0,0.24847230874,0.383074528477
440.0,0.235739544525,0.422580973481
450.0,0.263698632945,0.418176178869
460.0,0.332349574,0.36986014464
470.0,0.435665800125,0.283658211861
480.0,0.517901561333,0.215304785383
490.0,0.565497080601,0.178356882603
500.0,0.578452357928,0.172814503522
510.0,0.556767393315,0.198677648139
520.0,0.500442186762,0.255946316454
530.0,0.409476738268,0.344620508468
540.0,0.305264495764,0.443913016972
550.0,0.231929445606,0.510950227102
560.0,0.190808678289,0.544432938407
570.0,0.181902193814,0.544361150887
580.0,0.20520999218,0.510734864542
590.0,0.260732073387,0.443554079373
600.0,0.347616216085,0.343825741712
610.0,0.437739115709,0.244779080585
620.0,0.517465230652,0.162525237337
630.0,0.586794560914,0.0970642119664
640.0,0.645727106495,0.0483960044746
650.0,0.694262867394,0.0165206148613
660.0,0.732401843612,0.00143804312639
670.0,0.760424778834,0.000171891633061
680.0,0.779485841546,0.000485858985331
690.0,0.789709806717,0.00105710178904
700.0,0.791096674349,0.00188562004418
710.0,0.783646444441,0.00297141375077
720.0,0.767359116994,0.00431448290879
730.0,0.742234692007,0.00591482751825
