sample,X_D65,Y_D65,Z_D65,x_D65,y_D65,X_F2,Y_F2,Z_F2,x_F2,y_F2
0,0.696152307472,0.711690445899,0.738257992913,0.324380068679,0.33162024063,0.766591748616,0.727923638704,0.391712323432,0.406415272263,0.385915038017
1,0.521484687377,0.52816138948,0.548378388307,0.326330853341,0.330508950892,0.575762339005,0.543708082038,0.290628395995,0.408313468566,0.385581546107
2,0.385940232444,0.38653635657,0.397945809516,0.329744400764,0.330253724685,0.42745676081,0.400484711219,0.210488097702,0.411637701073,0.385663816683
3,0.269520755606,0.265998591667,0.272895320579,0.333394192762,0.329037314939,0.300181873929,0.278493893376,0.144391145304,0.415150892253,0.385156461345
4,0.17860145328,0.174440681621,0.17883276742,0.335795978529,0.32797313966,0.198885251661,0.183030299433,0.0946842327479,0.417300339622,0.384033534295
5,0.118092168107,0.111667118153,0.112707469022,0.344828122104,0.326067031122,0.131441723717,0.117536106953,0.0598581397865,0.425603674089,0.380577776543
6,0.0707258012154,0.0660326547017,0.0661931229382,0.348486085274,0.325361621103,0.0781738789386,0.0688102951379,0.0349997050778,0.429564856524,0.378112036394
7,0.0513983378057,0.0467628408751,0.0482479416936,0.3510596722,0.319398414221,0.0539498113905,0.0472931853727,0.0258079221067,0.424631414478,0.372238042773
8,0.558965376794,0.5320698856,0.513331316078,0.348402531126,0.331638599769,0.626226418506,0.564028551738,0.271776985005,0.428326081559,0.385784010885
9,0.415490067914,0.391719805889,0.373171177687,0.35199655856,0.331858771703,0.468145431677,0.419332217923,0.197326161257,0.431548476316,0.386551202832
10,0.301592777187,0.275988867174,0.259922395114,0.360109041834,0.329537356437,0.340601930689,0.297971771332,0.137310597569,0.438985465834,0.384041501406
11,0.196943590117,0.176097597244,0.167255612631,0.364510006574,0.325927522144,0.220968810542,0.189308935971,0.0883854532376,0.443122353228,0.379632858542
12,0.130251104094,0.112735215802,0.104319786531,0.375032576979,0.32459900277,0.144371361287,0.120024037351,0.0551771351716,0.451763984739,0.375576824204
13,0.0773689910174,0.0634857530481,0.0572640396548,0.390518201074,0.320442877026,0.082357114535,0.0658388011317,0.0304503384101,0.461006669077,0.368542858466
14,0.432334060908,0.382202676847,0.347445136642,0.3720660971,0.328923097053,0.48621215575,0.413472497772,0.183900846999,0.448706775346,0.381578101196
15,0.309373499752,0.264944310294,0.237922355883,0.380889191066,0.326189619041,0.347164063953,0.28759834013,0.125739618104,0.456493281838,0.378169066931
16,0.218814082049,0.183461349402,0.158927754981,0.389901710003,0.326907177004,0.24574147695,0.199974215233,0.0839966512139,0.463914953112,0.377514735547
17,0.129483691412,0.112310619896,0.104038948101,0.374410753995,0.324753669119,0.143424532528,0.119423411638,0.0549728406047,0.451274867473,0.375757085001
18,0.0817361959156,0.0625519939407,0.0552300397266,0.409667808733,0.313515181402,0.0829988405664,0.0634066015245,0.0292930540122,0.472393574261,0.360883006576
19,0.481602807302,0.400396659439,0.333473671747,0.396226615013,0.329416296223,0.540870516961,0.438600905341,0.17626240101,0.467988827575,0.379499930256
20,0.322715194103,0.259382976167,0.215260874778,0.404730085032,0.325302607123,0.362501473571,0.285912248572,0.113844039897,0.475562849765,0.375086044132
21,0.237694225068,0.18294559021,0.149647214772,0.416797529215,0.320795635478,0.259495345007,0.196851462688,0.0791289442522,0.4846070883,0.36761975117
22,0.156133817992,0.114356567884,0.0903970878645,0.432638507438,0.31687596884,0.162547831017,0.118772374692,0.0479817273453,0.493613352067,0.36067925138
23,0.471314858868,0.372838629256,0.29724927554,0.412925983598,0.326649488792,0.52332174841,0.407793871468,0.157142608153,0.480880121032,0.374721606476
24,0.361607809573,0.273799157905,0.209772148606,0.42784754461,0.323954002997,0.395321105352,0.29667963577,0.11079651894,0.492429564746,0.369557359659
25,0.246702219263,0.176951673084,0.13500890553,0.441594142657,0.316741465079,0.25901869829,0.18554446919,0.0715063203673,0.501906631548,0.359533887508
26,0.177155636839,0.118672306499,0.0857507355357,0.464270271498,0.311003504833,0.174713093063,0.119449736136,0.0457087125984,0.514056258253,0.351455539656
27,0.364048417652,0.263401817417,0.193785881589,0.443293238409,0.320738228719,0.388739278874,0.281656200271,0.102461802372,0.502989734549,0.364434944209
28,0.273822770311,0.181713383705,0.123384278946,0.472988609005,0.313883175232,0.280786774633,0.189430190639,0.0653727643368,0.524257204928,0.353685256021
29,0.173951433121,0.10864852538,0.0744854938315,0.487142312813,0.304264776597,0.164753663581,0.106493995994,0.0397014362199,0.529841269227,0.34248048132
30,0.658479105997,0.683527054957,0.717579197304,0.319714404337,0.331876050787,0.720798255333,0.692069463912,0.380692563618,0.40188125385,0.385863508756
31,0.477965133698,0.49331360453,0.514924858797,0.321601383993,0.331928684278,0.525365958153,0.502863266689,0.272698589676,0.403839438507,0.386542021069
