wavelength,r_true,r_rec
400.0,0.3199,0.0276364233895
410.0,0.37865,0.158089926722
420.0,0.3824,0.261946109509
430.0,0.37665,0.33920497175
440.0,0.372,0.389866513446
450.0,0.36505,0.413930734597
460.0,0.3653,0.411397635202
470.0,0.3632,0.384917867362
480.0,0.3575,0.359009962998
490.0,0.34545,0.339637889337
500.0,0.342,0.326801646378
510.0,0.3428,0.320501234121
520.0,0.3314,0.320736652566
530.0,0.31505,0.327507901713
540.0,0.3212,0.338599448666
550.0,0.34565,0.349441756828
560.0,0.3609,0.359896355392
570.0,0.3764,0.36996324436
580.0,0.3897,0.37964242373
590.0,0.3989,0.388933893503
600.0,0.4009,0.397786922977
610.0,0.39875,0.404527399014
620.0,0.3992,0.408343630394
630.0,0.3962,0.409235617117
640.0,0.3928,0.407203359184
650.0,0.39195,0.402246856593
660.0,0.3905,0.394366109346
670.0,0.3893,0.383335549569
680.0,0.3887,0.36822784267
690.0,0.3867,0.348942736262
700.0,0.3881,0.325480230345
710.0,0.3848,0.297840324918
720.0,0.3821,0.266023019981
730.0,0.3841,0.230028315536
