wavelength,r_true,r_rec
400.0,0.2773,0.0132686234921
410.0,0.32145,0.124490089162
420.0,0.3266,0.216030139448
430.0,0.3275,0.28788877435
440.0,0.3306,0.340065993868
450.0,0.33085,0.372561798001
460.0,0.3373,0.385376186751
470.0,0.3536,0.380247855015
480.0,0.3686,0.373259730614
490.0,0.37385,0.368323877071
500.0,0.3786,0.365440294387
510.0,0.37825,0.36460898256
520.0,0.3766,0.365829941592
530.0,0.3753,0.369103171482
540.0,0.3726,0.373044231106
550.0,0.36945,0.374797710645
560.0,0.3658,0.374277082528
570.0,0.36635,0.371482346755
580.0,0.3627,0.366413503326
590.0,0.3587,0.359070552242
600.0,0.3533,0.349557639099
610.0,0.34685,0.341311568593
620.0,0.3406,0.335998670274
630.0,0.33845,0.33361894414
640.0,0.3342,0.334172390194
650.0,0.32845,0.337659008434
660.0,0.3261,0.34407879886
670.0,0.327,0.35245147114
680.0,0.3273,0.358746942797
690.0,0.3286,0.362529529238
700.0,0.3292,0.363799230463
710.0,0.3312,0.362556046472
720.0,0.3308,0.358799977265
730.0,0.3298,0.352531022842
