wavelength,r_true,r_rec
400.0,0.1742,0.155548949001
410.0,0.18005,0.164629328235
420.0,0.1763,0.171117246397
430.0,0.1735,0.175012703487
440.0,0.172,0.176315699506
450.0,0.1692,0.175026234452
460.0,0.1691,0.171144308326
470.0,0.16995,0.164989477419
480.0,0.1662,0.159517637415
490.0,0.15815,0.155447789967
500.0,0.1562,0.152779935075
510.0,0.15625,0.151514072739
520.0,0.1506,0.151650202959
530.0,0.1425,0.153188325735
540.0,0.1473,0.156226978512
550.0,0.16285,0.160969394768
560.0,0.1711,0.167421733096
570.0,0.18025,0.175583993493
580.0,0.1947,0.185456175961
590.0,0.203,0.197038280499
600.0,0.2032,0.210141285042
610.0,0.20285,0.218527461432
620.0,0.2025,0.219172456624
630.0,0.2005,0.212076270617
640.0,0.1998,0.197238903412
650.0,0.1998,0.174660355007
660.0,0.2003,0.144340625405
670.0,0.19785,0.110685823197
680.0,0.1992,0.0918099503841
690.0,0.1964,0.0896712774511
700.0,0.1978,0.104269804398
710.0,0.1978,0.135605531226
720.0,0.1966,0.183678457933
730.0,0.1982,0.248488584521
