wavelength,r_true,r_rec
400.0,0.0943,4.22674458785e-07
410.0,0.0941,0.030331942679
420.0,0.0925,0.0562204663832
430.0,0.0917,0.0776659937871
440.0,0.0941,0.0946685248908
450.0,0.0956,0.107228059694
460.0,0.0998,0.115344598197
470.0,0.10795,0.119288806569
480.0,0.117,0.121564346867
490.0,0.11935,0.122780217973
500.0,0.121,0.122936419886
510.0,0.12055,0.122032952605
520.0,0.1186,0.120069816131
530.0,0.1181,0.117047010464
540.0,0.1172,0.113421127872
550.0,0.1143,0.110133889909
560.0,0.1125,0.107213833592
570.0,0.1085,0.104660958921
580.0,0.1045,0.102475265895
590.0,0.0997,0.100656754516
600.0,0.0935,0.0991609587423
610.0,0.08695,0.0965204992689
620.0,0.0826,0.092023919462
630.0,0.07995,0.0856712193217
640.0,0.0779,0.077462398848
650.0,0.07555,0.0673974580409
660.0,0.0754,0.0554763969003
670.0,0.0757,0.0423605746551
680.0,0.0776,0.0307689125795
690.0,0.0789,0.0209953481086
700.0,0.0808,0.0130398812423
710.0,0.0818,0.00690251198067
720.0,0.0823,0.00258324032367
730.0,0.08395,8.20662713168e-05
