sample,status,n_meta,xy_hull_area,xy_spread_max,xy_spread_mean,score,i1_err_xy_max,i1_err_y_max,dist_to_white_i1
1170,ok,3409,0.0018555660295,0.092890406667,0.0142610341087,0.318410537029,1.75541673429e-16,2.08166817117e-17,0.0159247640582
1036,ok,3971,0.00183466143153,0.0929984595278,0.0135346026064,0.315864751833,2.00148302124e-16,2.08166817117e-17,0.0211829775888
1238,ok,3494,0.00179150931371,0.0859568225902,0.0119373493382,0.303325410103,1.75541673429e-16,1.38777878078e-17,0.0167739824207
729,ok,3241,0.00159854488118,0.0878510131223,0.013299375328,0.282336273929,1.57009245868e-16,1.38777878078e-17,0.0202397437178
1100,ok,3162,0.00163037002151,0.0768020570871,0.0132726335127,0.275100986371,2.00148302124e-16,1.38777878078e-17,0.0149083046494
372,ok,5587,0.00157837948406,0.0812240241204,0.0102191647023,0.272673395148,5.57880165459e-16,1.38777878078e-17,0.0199198344475
564,ok,3089,0.00149475958923,0.0855154019053,0.0118493678787,0.267256426189,1.75541673429e-16,2.08166817117e-17,0.0117872339063
621,ok,2983,0.00151968704628,0.082109834083,0.0122263540564,0.266917550448,1.24126707662e-16,2.77555756156e-17,0.0131357032671
504,ok,3258,0.00153560805735,0.0800110648816,0.0115820392134,0.266600439606,1.66533453694e-16,2.77555756156e-17,0.0109872183284
441,ok,5906,0.00150199934214,0.0838440649385,0.00946762312853,0.265977510622,6.13140705829e-16,2.08166817117e-17,0.018365200452
1169,ok,3068,0.00156916448076,0.072013159137,0.0131752760394,0.262947952036,2.00148302124e-16,2.77555756156e-17,0.0131013516494
36,ok,2655,0.00156923271932,0.072351057097,0.0112696822204,0.26291291986,1.75541673429e-16,2.77555756156e-17,0.020236266565
677,ok,3257,0.00147338741897,0.0819848387182,0.0124105312579,0.261273435246,1.66533453694e-16,1.38777878078e-17,0.0209867212071
622,ok,3322,0.00144990852857,0.0829143092252,0.0120613994629,0.259315612547,1.66533453694e-16,1.38777878078e-17,0.0157694398166
676,ok,2928,0.00148418816109,0.0786094110829,0.0124715528021,0.259206300974,1.24126707662e-16,2.08166817117e-17,0.0203029791883
563,ok,2823,0.0014714681799,0.0773733046443,0.0117289799721,0.256295282226,1.57009245868e-16,2.77555756156e-17,0.0120945351823
1237,ok,2940,0.00152320693681,0.0694996154566,0.0115033701655,0.254585121906,1.57009245868e-16,2.77555756156e-17,0.0152054404245
572,ok,3231,0.00134430697568,0.0804786229994,0.0112167593347,0.244038811948,1.75541673429e-16,2.08166817117e-17,0.0213527220314
503,ok,2815,0.00139590419606,0.073795670419,0.0109710467211,0.24349838329,1.57009245868e-16,2.77555756156e-17,0.0138409103713
1034,ok,2564,0.00110538416521,0.0594383783688,0.0114509861602,0.194374675426,1.75541673429e-16,4.16333634234e-17,0.0179801080942
779,ok,2055,0.00106928501405,0.0591557651874,0.0113660694409,0.189743180761,1.24126707662e-16,2.77555756156e-17,0.0168974040058
1168,ok,2154,0.00106939988767,0.0580708627271,0.0124266925967,0.188884187767,1.57009245868e-16,4.16333634234e-17,0.0121800775078
1099,ok,2403,0.0010517113405,0.057336268933,0.0118520433449,0.185912038462,1.75541673429e-16,4.16333634234e-17,0.0134993163727
835,ok,1969,0.00104066891647,0.0581663972481,0.0114393768337,0.185334542592,1.75541673429e-16,5.55111512313e-17,0.0185276943399
675,ok,2120,0.00104207649169,0.0576822740049,0.0108011598757,0.184891684983,1.66533453694e-16,5.55111512313e-17,0.0169560842384
727,ok,2063,0.00103342232637,0.0570396743715,0.0110108311299,0.183252519762,1.57009245868e-16,2.77555756156e-17,0.0198649235814
620,ok,2124,0.00102751057733,0.0571078805731,0.0104307342905,0.18249529671,1.57009245868e-16,2.77555756156e-17,0.0135638790025
969,ok,2568,0.0010245447942,0.056709655137,0.0107358327048,0.181802196982,2.00148302124e-16,4.16333634234e-17,0.0184015512028
