wavelength,r_true,r_rec
400.0,0.1219,0.20284911406
410.0,0.1248,0.174348627104
420.0,0.1231,0.150737418612
430.0,0.12215,0.132015488585
440.0,0.1213,0.118182837023
450.0,0.11545,0.109239463925
460.0,0.1159,0.105185369293
470.0,0.11435,0.10558740127
480.0,0.1126,0.106438905198
490.0,0.1103,0.106765289403
500.0,0.1092,0.106566553884
510.0,0.10575,0.105842698641
520.0,0.1032,0.104593723676
530.0,0.0988,0.102819628986
540.0,0.0977,0.101001196213
550.0,0.0994,0.100130037489
560.0,0.0974,0.100236201666
570.0,0.10115,0.101319688744
580.0,0.106,0.103380498723
590.0,0.1083,0.106418631603
600.0,0.1105,0.11036072811
610.0,0.1089,0.112785932203
620.0,0.1086,0.112520495497
630.0,0.10875,0.109564417992
640.0,0.1067,0.103917699689
650.0,0.1067,0.0955803405869
660.0,0.1086,0.0845523406862
670.0,0.1051,0.0730378061044
680.0,0.1076,0.0700980619906
690.0,0.10645,0.0767127110638
700.0,0.1065,0.092881753324
710.0,0.1091,0.118605188771
720.0,0.1081,0.153883017405
730.0,0.10955,0.198715239226
