wavelength,r_true,r_rec
400.0,0.3435,0.303797966538
410.0,0.41435,0.341201632112
420.0,0.425,0.372203620575
430.0,0.42215,0.396803931926
440.0,0.42,0.415002566165
450.0,0.41755,0.426799523293
460.0,0.4162,0.43219480331
470.0,0.411,0.431468936092
480.0,0.4066,0.42721682301
490.0,0.39705,0.420069656287
500.0,0.3871,0.410027435924
510.0,0.38085,0.397090161921
520.0,0.3687,0.381257834278
530.0,0.36275,0.362530452994
540.0,0.3613,0.344110311323
550.0,0.35745,0.332602139095
560.0,0.3466,0.328206079639
570.0,0.35045,0.330922132955
580.0,0.353,0.340750299043
590.0,0.3606,0.357690577903
600.0,0.3618,0.38131045092
610.0,0.3577,0.397336803761
620.0,0.3509,0.398849338569
630.0,0.3493,0.385848055344
640.0,0.3523,0.358332954086
650.0,0.3579,0.316304034796
660.0,0.3597,0.259761297472
670.0,0.3568,0.195832322724
680.0,0.3572,0.153819386392
690.0,0.3511,0.136890302077
700.0,0.3548,0.145045069781
710.0,0.35575,0.178283689504
720.0,0.3594,0.236606161246
730.0,0.3603,0.320012485006
