wavelength,r_A,r_B
400.0,0.00173572064673,0.998162099466
410.0,0.0539096730119,0.735257087414
420.0,0.0981540395202,0.51397157517
430.0,0.134468820172,0.334305562733
440.0,0.162854014966,0.196259050105
450.0,0.183309623904,0.099832037285
460.0,0.195835646985,0.0450245242728
470.0,0.200834268104,0.0292492948886
480.0,0.202025688297,0.0285745994666
490.0,0.200314821329,0.0371792016016
500.0,0.195701667199,0.0550631012938
510.0,0.188186225907,0.082226298543
520.0,0.177768497454,0.118668793349
530.0,0.164448481839,0.164390585713
540.0,0.150507101475,0.211659956123
550.0,0.140648758838,0.244530233092
560.0,0.135016011578,0.26251818415
570.0,0.133608859695,0.265623809296
580.0,0.13642730319,0.253847108531
590.0,0.143471342062,0.227188081854
600.0,0.154988564682,0.186065246666
610.0,0.179149387278,0.144289677157
620.0,0.21991522378,0.108557651721
630.0,0.277286074186,0.078869170359
640.0,0.351261938498,0.0552242330705
650.0,0.441842816715,0.0376228398557
660.0,0.549028708837,0.0260649907145
670.0,0.660523274653,0.021149648209
680.0,0.725774893293,0.025339213983
690.0,0.739318524663,0.0388998936196
700.0,0.701154168763,0.0618316871188
710.0,0.611281825594,0.0941345944807
720.0,0.469701495154,0.135808615705
730.0,0.276413177445,0.186853750792
