wavelength,r_A,r_B
400.0,0.00278461269393,4.99464415777e-05
410.0,0.0125973635838,0.0446678068757
420.0,0.0263443910967,0.078827212604
430.0,0.0440256952326,0.102528163627
440.0,0.0656412759915,0.115770659943
450.0,0.0911911333735,0.118554701554
460.0,0.120675267378,0.11088028846
470.0,0.152912724665,0.0941050652844
480.0,0.176979686825,0.0807872448135
490.0,0.190219008842,0.0739815274539
500.0,0.192630690713,0.0736879132056
510.0,0.184214732441,0.0799064020687
520.0,0.164971134024,0.092636994043
530.0,0.134899895463,0.111879689129
540.0,0.0999047342242,0.132963756431
550.0,0.0721620675848,0.146255813481
560.0,0.0520408778861,0.151463939597
570.0,0.0395411651281,0.148588134779
580.0,0.0346629293108,0.137628399028
590.0,0.0374061704342,0.118584732343
600.0,0.0479820863248,0.0917084786633
610.0,0.0733602052568,0.0652939880054
620.0,0.116919692454,0.0433627634063
630.0,0.178660547917,0.0259148048662
640.0,0.258582771644,0.012950112385
650.0,0.356686363638,0.00446868596272
660.0,0.472971323896,0.000470525599359
670.0,0.598937933818,0.000170084234343
680.0,0.699642905821,0.000337890618646
690.0,0.771308587193,0.000624812725346
700.0,0.813934977934,0.00103085055444
710.0,0.827522078044,0.00155600410594
720.0,0.812069887522,0.00220027337983
730.0,0.76757840637,0.00296365837612
